Date,Value,Filename,HNR
01/01/2025,115.6859092,1320-122617-0000.flac,14.52334917
02/01/2025,115.8659774,1320-122617-0001.flac,15.67978765
03/01/2025,114.7167709,1320-122617-0002.flac,13.77636095
04/01/2025,109.3603758,1320-122617-0003.flac,13.23501754
05/01/2025,110.8292109,1320-122617-0004.flac,13.18013137
06/01/2025,104.8186533,1320-122617-0005.flac,12.6472515
07/01/2025,104.7507179,1320-122617-0006.flac,15.5659483
08/01/2025,110.8447187,1320-122617-0007.flac,14.05139052
09/01/2025,115.8328293,1320-122617-0008.flac,14.6974117
10/01/2025,126.8985324,1320-122617-0009.flac,15.18366272
11/01/2025,114.2551483,1320-122617-0010.flac,14.24808767
12/01/2025,112.5257937,1320-122617-0011.flac,13.57109213
13/01/2025,102.0565605,1320-122617-0012.flac,14.9293375
14/01/2025,112.318152,1320-122617-0013.flac,13.74244646
15/01/2025,114.2721489,1320-122617-0014.flac,13.14724621
16/01/2025,106.6277547,1320-122617-0015.flac,13.12423122
17/01/2025,116.3754699,1320-122617-0016.flac,13.48018869
18/01/2025,117.8703236,1320-122617-0017.flac,11.52109334
19/01/2025,111.9333263,1320-122617-0018.flac,13.72319381
20/01/2025,115.7891313,1320-122617-0019.flac,14.41623978
21/01/2025,109.4220497,1320-122617-0020.flac,12.78221638
22/01/2025,109.4045853,1320-122617-0021.flac,13.41983892
23/01/2025,109.4295066,1320-122617-0022.flac,12.3358159
24/01/2025,105.4062815,1320-122617-0023.flac,14.12855113
25/01/2025,104.599845,1320-122617-0024.flac,14.2534433
26/01/2025,108.6132775,1320-122617-0025.flac,13.72479642
27/01/2025,109.587926,1320-122617-0026.flac,15.01517669
28/01/2025,106.858119,1320-122617-0027.flac,13.35699858
29/01/2025,110.2485238,1320-122617-0028.flac,13.24006799
30/01/2025,112.9537682,1320-122617-0029.flac,14.92165944
31/01/2025,113.1965672,1320-122617-0030.flac,11.10061041
01/02/2025,109.573414,1320-122617-0031.flac,14.25684953
02/02/2025,113.2589083,1320-122617-0032.flac,15.43080959
03/02/2025,110.2177527,1320-122617-0033.flac,14.46520773
04/02/2025,108.6265674,1320-122617-0034.flac,14.97231916
05/02/2025,110.7068601,1320-122617-0035.flac,15.88570793
06/02/2025,108.6368044,1320-122617-0036.flac,14.92390392
07/02/2025,110.1370638,1320-122617-0037.flac,12.97990147
08/02/2025,127.3735549,1320-122617-0038.flac,17.19423357
09/02/2025,111.6600968,1320-122617-0039.flac,12.83395239
10/02/2025,119.7051451,1320-122617-0040.flac,14.44665541
11/02/2025,118.2325286,1320-122617-0041.flac,12.85504668
12/02/2025,231.8133028,533-1066-0000.flac,7.815844738
13/02/2025,232.5498967,533-1066-0001.flac,12.53804167
14/02/2025,244.4198959,533-1066-0002.flac,13.00434514
15/02/2025,260.0065247,533-1066-0003.flac,11.94021468
16/02/2025,214.1252817,533-1066-0004.flac,9.955350569
17/02/2025,223.5482794,533-1066-0005.flac,11.87032781
18/02/2025,208.0622419,533-1066-0006.flac,7.57237076
19/02/2025,220.3157315,533-1066-0007.flac,11.13907224
20/02/2025,233.770495,533-1066-0008.flac,11.20006261
21/02/2025,320.5943042,533-1066-0009.flac,11.06125571
22/02/2025,240.9695896,533-1066-0010.flac,9.690972011
23/02/2025,226.3803656,533-1066-0011.flac,8.578816326
24/02/2025,249.6869567,533-1066-0012.flac,10.62126789
25/02/2025,217.4458455,533-1066-0013.flac,10.7045748
26/02/2025,212.578758,533-1066-0014.flac,7.85843159
27/02/2025,227.3652321,533-1066-0015.flac,11.91549771
28/02/2025,217.806667,533-1066-0016.flac,11.27125627
01/03/2025,269.1853359,533-1066-0017.flac,11.11456312
02/03/2025,217.9701291,533-1066-0018.flac,9.937297465
03/03/2025,209.9680625,533-1066-0019.flac,10.00200483
04/03/2025,294.7267434,533-1066-0020.flac,11.03051444
05/03/2025,214.6720258,533-1066-0021.flac,10.45197618
06/03/2025,204.7702665,533-1066-0022.flac,8.96941017
07/03/2025,206.2986239,533-1066-0023.flac,11.36654311
08/03/2025,243.2798432,533-1066-0024.flac,11.80335288
09/03/2025,180.114043,the_north_wind_and_the_sun.wav,15.93757242
10/03/2025,180.114043,the_north_wind_and_the_sun.wav,15.93757242
2025-03-06,180.1140429644378,the_north_wind_and_the_sun.wav,15.937572420229298
